,User_ID,min_purchase_date,max_purchase_date,first_listen_date,last_listen_date,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,1_listen_my,signup_date,signup_my,change_status_my,cnt_07/2020,cnt_08/2020,cnt_09/2020,cnt_10/2020,cnt_11/2020,cnt_12/2020,F_07/2020,F_08/2020,F_09/2020,F_10/2020,F_11/2020,F_12/2020,ST_07/2020,ST_08/2020,ST_09/2020,ST_10/2020,ST_11/2020,ST_12/2020,ST_start
42,40940,,,2020-09-11,2020-12-15,0.0,0.0,18.0,4.0,0.0,7.0,09/2020,2020-07-02,07/2020,,,,18.0,4.0,,7.0,,,0.0,0.0,,0.0,0,0,0,0,0,0,0
43,40941,,,2020-07-02,2020-08-27,42.0,4.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,42.0,4.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
44,40942,,,2020-07-16,2020-07-16,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
45,40943,,,2020-09-10,2020-09-10,0.0,0.0,5.0,0.0,0.0,0.0,09/2020,2020-07-02,07/2020,,,,5.0,,,,,,0.0,,,,0,0,0,0,0,0,0
46,40955,,,2020-07-05,2020-07-21,33.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,33.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
47,40959,,,2020-07-17,2020-07-17,31.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,31.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
48,40963,,,2020-09-25,2020-09-25,0.0,0.0,3.0,0.0,0.0,0.0,09/2020,2020-07-02,07/2020,,,,3.0,,,,,,0.0,,,,0,0,0,0,0,0,0
49,40968,,,2020-07-02,2020-07-11,19.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,19.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
50,40970,,,2020-07-07,2020-07-07,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
51,40975,,,2020-07-02,2020-07-02,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
52,40977,,,2020-07-02,2020-07-02,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
53,40978,,,2020-08-15,2020-09-29,0.0,2.0,1.0,0.0,0.0,0.0,08/2020,2020-07-02,07/2020,,,2.0,1.0,,,,,0.0,0.0,,,,0,0,0,0,0,0,0
54,40981,,,2020-07-03,2020-11-13,21.0,4.0,18.0,0.0,6.0,0.0,07/2020,2020-07-03,07/2020,,21.0,4.0,18.0,,6.0,,0.0,0.0,0.0,,0.0,,0,0,0,0,0,0,0
55,40985,,,2020-07-03,2020-09-18,1.0,0.0,1.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,1.0,,1.0,,,,0.0,,0.0,,,,0,0,0,0,0,0,0
56,40986,,,2020-07-19,2020-07-24,22.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,22.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
57,40989,,,2020-07-03,2020-09-18,66.0,15.0,45.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,66.0,15.0,45.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,0,0
58,40990,,,2020-07-17,2020-07-21,31.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,31.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
59,40994,,,2020-07-03,2020-07-03,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
60,41000,,,2020-07-16,2020-08-20,84.0,11.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,84.0,11.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
61,41003,2020-10-27,2020-10-27,2020-10-15,2020-12-20,0.0,0.0,0.0,19.0,30.0,99.0,10/2020,2020-07-03,07/2020,10/2020,,,,19.0,30.0,99.0,,,,0.0,0.0,0.0,0,0,0,1,1,1,0
62,41007,,,2020-07-19,2020-09-17,116.0,70.0,39.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,116.0,70.0,39.0,,,,1.0,0.0,0.0,,,,0,0,0,0,0,0,0
63,41013,,,2020-07-22,2020-12-02,17.0,9.0,6.0,7.0,2.0,1.0,07/2020,2020-07-03,07/2020,,17.0,9.0,6.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
64,41014,2020-07-14,2020-10-15,2020-07-05,2020-12-06,42.0,31.0,35.0,0.0,0.0,1.0,07/2020,2020-07-03,07/2020,07/2020,42.0,31.0,35.0,,,1.0,0.0,0.0,0.0,,,0.0,1,1,1,1,1,1,0
65,41016,,,2020-08-05,2020-09-18,0.0,27.0,13.0,0.0,0.0,0.0,08/2020,2020-07-03,07/2020,,,27.0,13.0,,,,,0.0,0.0,,,,0,0,0,0,0,0,0
66,41020,,,2020-07-06,2020-07-14,69.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,69.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
67,41037,,,2020-10-19,2020-11-25,0.0,0.0,0.0,4.0,1.0,0.0,10/2020,2020-07-03,07/2020,,,,,4.0,1.0,,,,,0.0,0.0,,0,0,0,0,0,0,0
68,41038,,,2020-07-07,2020-11-04,4.0,1.0,0.0,3.0,3.0,0.0,07/2020,2020-07-03,07/2020,,4.0,1.0,,3.0,3.0,,0.0,0.0,,0.0,0.0,,0,0,0,0,0,0,0
69,41043,,,2020-08-04,2020-08-04,0.0,1.0,0.0,0.0,0.0,0.0,08/2020,2020-07-03,07/2020,,,1.0,,,,,,0.0,,,,,0,0,0,0,0,0,0
70,41055,,,2020-07-03,2020-07-03,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
71,41056,,,2020-07-03,2020-07-03,3.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,3.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
72,41057,2020-10-20,2020-10-20,2020-07-03,2020-12-26,85.0,212.0,91.0,130.0,38.0,54.0,07/2020,2020-07-03,07/2020,10/2020,85.0,212.0,91.0,130.0,38.0,54.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0,0,1,1,1,0
73,41058,,,2020-07-23,2020-07-26,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
74,41059,,,2020-07-04,2020-10-31,12.0,0.0,0.0,1.0,0.0,0.0,07/2020,2020-07-03,07/2020,,12.0,,,1.0,,,0.0,,,0.0,,,0,0,0,0,0,0,0
75,41061,,,2020-07-19,2020-07-19,39.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,39.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
76,41070,,,2020-07-03,2020-07-31,14.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,14.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
77,41087,,,2020-07-17,2020-12-31,59.0,15.0,11.0,0.0,5.0,43.0,07/2020,2020-07-03,07/2020,,59.0,15.0,11.0,,5.0,43.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0
78,41094,2020-10-13,2020-10-13,2020-07-18,2020-12-07,161.0,121.0,21.0,34.0,3.0,1.0,07/2020,2020-07-03,07/2020,10/2020,161.0,121.0,21.0,34.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0
79,41100,,,2020-07-09,2020-11-22,119.0,25.0,5.0,5.0,4.0,0.0,07/2020,2020-07-03,07/2020,,119.0,25.0,5.0,5.0,4.0,,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
80,41104,,,2020-07-07,2020-11-16,59.0,35.0,74.0,13.0,7.0,0.0,07/2020,2020-07-03,07/2020,,59.0,35.0,74.0,13.0,7.0,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0
81,41112,,,2020-07-10,2020-09-18,3.0,7.0,6.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,3.0,7.0,6.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,0,0
82,41114,,,2020-07-21,2020-09-02,37.0,0.0,1.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,37.0,,1.0,,,,0.0,,0.0,,,,0,0,0,0,0,0,0
83,41119,,,2020-07-04,2020-07-07,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
84,41123,,,2020-07-03,2020-07-17,34.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-03,07/2020,,34.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
85,41130,,,2020-10-03,2020-10-08,0.0,0.0,0.0,16.0,0.0,0.0,10/2020,2020-07-04,07/2020,,,,,16.0,,,,,,0.0,,,0,0,0,0,0,0,0
86,41132,,,2020-09-10,2020-09-10,0.0,0.0,3.0,0.0,0.0,0.0,09/2020,2020-07-04,07/2020,,,,3.0,,,,,,0.0,,,,0,0,0,0,0,0,0
87,41133,2020-08-24,2020-08-24,2020-07-17,2020-12-31,368.0,257.0,515.0,350.0,136.0,151.0,07/2020,2020-07-04,07/2020,08/2020,368.0,257.0,515.0,350.0,136.0,151.0,3.0,2.0,3.0,3.0,1.0,1.0,0,1,1,1,1,1,0
88,41135,,,2020-07-04,2020-07-04,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
89,41137,,,2020-07-19,2020-09-25,8.0,0.0,10.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,8.0,,10.0,,,,0.0,,0.0,,,,0,0,0,0,0,0,0
90,41142,,,2020-07-04,2020-12-26,9.0,0.0,19.0,3.0,0.0,60.0,07/2020,2020-07-04,07/2020,,9.0,,19.0,3.0,,60.0,0.0,,0.0,0.0,,0.0,0,0,0,0,0,0,0
91,41145,,,2020-08-06,2020-08-06,0.0,1.0,0.0,0.0,0.0,0.0,08/2020,2020-07-04,07/2020,,,1.0,,,,,,0.0,,,,,0,0,0,0,0,0,0
92,41146,,,2020-07-17,2020-08-13,16.0,5.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,16.0,5.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
93,41147,,,2020-07-04,2020-07-04,5.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,5.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
94,41149,,,2020-07-04,2020-07-04,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
95,41150,,,2020-07-05,2020-07-13,25.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,25.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
96,41151,,,2020-07-04,2020-07-12,18.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,18.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
97,41156,,,2020-08-04,2020-08-04,0.0,20.0,0.0,0.0,0.0,0.0,08/2020,2020-07-04,07/2020,,,20.0,,,,,,0.0,,,,,0,0,0,0,0,0,0
98,41166,,,2020-07-04,2020-07-04,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
99,41168,,,2020-08-06,2020-08-06,0.0,4.0,0.0,0.0,0.0,0.0,08/2020,2020-07-04,07/2020,,,4.0,,,,,,0.0,,,,,0,0,0,0,0,0,0
100,41169,,,2020-07-04,2020-07-04,3.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,3.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
101,41170,,,2020-07-05,2020-07-17,31.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,31.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
102,41171,,,2020-07-04,2020-07-09,17.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,17.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
103,41172,,,2020-07-04,2020-08-26,1.0,1.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,1.0,1.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
104,41178,,,2020-07-18,2020-07-25,19.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,19.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
105,41182,,,2020-07-16,2020-07-16,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
106,41184,,,2020-08-13,2020-08-22,0.0,16.0,0.0,0.0,0.0,0.0,08/2020,2020-07-04,07/2020,,,16.0,,,,,,0.0,,,,,0,0,0,0,0,0,0
107,41185,,,2020-07-18,2020-08-12,17.0,4.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,17.0,4.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
108,41186,,,2020-07-04,2020-12-17,2.0,0.0,0.0,0.0,12.0,40.0,07/2020,2020-07-04,07/2020,,2.0,,,,12.0,40.0,0.0,,,,0.0,0.0,0,0,0,0,0,0,0
109,41189,,,2020-07-16,2020-07-16,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
110,41191,,,2020-07-08,2020-08-18,39.0,6.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,39.0,6.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
111,41192,,,2020-07-18,2020-11-08,15.0,16.0,0.0,2.0,1.0,0.0,07/2020,2020-07-04,07/2020,,15.0,16.0,,2.0,1.0,,0.0,0.0,,0.0,0.0,,0,0,0,0,0,0,0
112,41193,,,2020-07-05,2020-07-08,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
113,41195,,,2020-07-18,2020-07-18,22.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,22.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
114,41196,,,2020-07-25,2020-07-25,5.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-04,07/2020,,5.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
115,41199,,,2020-07-05,2020-07-05,11.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,11.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
116,41206,,,2020-07-05,2020-07-05,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
117,41210,,,2020-07-05,2020-07-05,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
118,41211,,,2020-07-05,2020-07-05,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
119,41214,,,2020-07-05,2020-12-12,6.0,9.0,0.0,0.0,0.0,3.0,07/2020,2020-07-05,07/2020,,6.0,9.0,,,,3.0,0.0,0.0,,,,0.0,0,0,0,0,0,0,0
120,41218,,,2020-07-05,2020-07-05,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
121,41221,,,2020-08-20,2020-12-27,0.0,14.0,0.0,0.0,1.0,3.0,08/2020,2020-07-05,07/2020,,,14.0,,,1.0,3.0,,0.0,,,0.0,0.0,0,0,0,0,0,0,0
122,41225,,,2020-07-06,2020-07-07,3.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,3.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
123,41226,,,2020-10-05,2020-10-21,0.0,0.0,0.0,6.0,0.0,0.0,10/2020,2020-07-05,07/2020,,,,,6.0,,,,,,0.0,,,0,0,0,0,0,0,0
124,41228,,,2020-07-05,2020-07-05,6.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,6.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
125,41229,,,2020-07-07,2020-07-08,6.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,6.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
126,41230,,,2020-07-06,2020-07-06,5.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,5.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
127,41232,,,2020-07-12,2020-11-01,10.0,4.0,2.0,0.0,1.0,0.0,07/2020,2020-07-05,07/2020,,10.0,4.0,2.0,,1.0,,0.0,0.0,0.0,,0.0,,0,0,0,0,0,0,0
128,41244,,,2020-07-05,2020-07-05,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
129,41250,,,2020-08-19,2020-12-05,0.0,8.0,21.0,6.0,0.0,2.0,08/2020,2020-07-05,07/2020,,,8.0,21.0,6.0,,2.0,,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0
130,41261,,,2020-07-05,2020-07-05,1.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-05,07/2020,,1.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
