,User_ID,type_user,Recency,Frequency,Density,RecencyCluster,FrequencyCluster,DensityCluster,ClusterCode
206,42248,free,111,0.875,6.924489795918368,0,0,0,000
207,42253,free,140,0.25925925925925924,6.0,0,0,0,000
208,42267,free,167,2.0,0.35,0,0,0,000
209,42270,free,167,3.0,0.43333333333333335,0,0,0,000
210,42271,free,156,3.2,7.012499999999999,0,0,0,000
211,42276,free,153,0.42857142857142855,1.6666666666666667,0,0,0,000
212,42279,free,167,1.0,0.4,0,0,0,000
213,42288,free,167,2.0,1.0,0,0,0,000
214,42292,free,164,1.0,0.0,0,0,0,000
215,42294,free,162,1.0,2.2,0,0,0,000
216,42299,free,147,0.3157894736842105,1.6500000000000001,0,0,0,000
217,42310,free,130,1.1944444444444444,8.886046511627908,0,0,0,000
218,42311,free,166,1.0,0.2,0,0,0,000
219,42312,free,166,4.0,1.125,0,0,0,000
220,42313,free,166,1.0,3.3,0,0,0,000
221,42327,free,162,2.0,6.6,0,0,0,000
222,42328,free,152,6.142857142857143,3.9627906976744183,0,0,0,000
223,42334,free,149,0.35294117647058826,1.1666666666666667,0,0,0,000
224,42335,free,163,5.666666666666667,8.988235294117645,0,0,0,000
225,42340,free,159,1.0,0.1,0,0,0,000
226,42341,free,166,2.0,0.15000000000000002,0,0,0,000
227,42345,free,164,3.0,4.766666666666667,0,0,0,000
228,42350,free,165,1.0,0.4,0,0,0,000
229,42352,free,160,1.8,6.855555555555555,0,0,0,000
230,42353,free,165,2.0,1.9,0,0,0,000
231,42356,free,165,1.0,1.3,0,0,0,000
232,42361,free,146,0.1111111111111111,2.4000000000000004,0,0,0,000
233,42363,free,162,1.0,0.7,0,0,0,000
234,42365,free,165,4.0,0.525,0,0,0,000
235,42368,free,155,3.7,9.132432432432433,0,0,0,000
236,42381,free,143,2.857142857142857,8.943333333333335,0,0,0,000
237,42383,free,164,4.0,7.35,0,0,0,000
238,42385,free,147,2.0,0.44999999999999996,0,0,0,000
239,42388,free,165,2.0,0.95,0,0,0,000
240,42390,free,165,3.0,1.5666666666666667,0,0,0,000
241,42393,free,116,0.3469387755102041,8.294117647058822,0,0,0,000
242,42397,free,165,1.0,0.2,0,0,0,000
243,42401,free,129,1.0,0.6,0,0,0,000
244,42404,free,161,6.0,5.166666666666667,0,0,0,000
245,42409,free,144,0.7619047619047619,4.4375,0,0,0,000
246,42414,free,164,4.0,0.825,0,0,0,000
247,42415,free,165,1.0,2.9,0,0,0,000
248,42417,free,133,1.125,4.394444444444445,0,0,0,000
249,42421,free,160,0.8,1.35,0,0,0,000
250,42431,free,115,0.14285714285714285,7.014285714285715,0,0,0,000
251,42432,free,155,4.5,5.3,0,0,0,000
252,42441,free,146,4.055555555555555,6.2958904109589025,0,0,0,000
253,42468,free,163,2.0,0.39999999999999997,0,0,0,000
254,42469,free,139,2.0,3.1,0,0,0,000
255,42472,free,156,1.3333333333333333,0.8999999999999999,0,0,0,000
256,42479,free,149,2.6666666666666665,9.765625,0,0,0,000
257,42485,free,164,3.0,0.4000000000000001,0,0,0,000
258,42488,free,164,1.0,1.0,0,0,0,000
259,42492,free,148,0.3125,0.6200000000000001,0,0,0,000
260,42496,free,159,1.25,9.6,0,0,0,000
261,42499,free,163,6.0,1.6833333333333333,0,0,0,000
262,42504,free,161,4.5,5.622222222222224,0,0,0,000
263,42507,free,163,3.0,2.9,0,0,0,000
264,42524,free,163,3.0,0.8000000000000002,0,0,0,000
265,42540,free,163,4.0,0.7250000000000001,0,0,0,000
266,42544,free,163,1.0,0.7,0,0,0,000
267,42546,free,129,1.0,0.5,0,0,0,000
268,42557,free,157,2.5,5.28,0,0,0,000
269,42560,free,163,3.0,4.566666666666667,0,0,0,000
270,42561,free,153,3.2,5.721875,0,0,0,000
271,42562,free,158,1.4,5.814285714285715,0,0,0,000
272,42566,free,116,0.7872340425531915,2.4243243243243233,0,0,0,000
273,42569,free,163,1.0,3.6,0,0,0,000
274,42572,free,156,2.0,0.8,0,0,0,000
275,42574,free,151,0.4166666666666667,6.02,0,0,0,000
276,42578,free,124,0.1794871794871795,3.1714285714285713,0,0,0,000
277,42582,free,156,1.0,0.2,0,0,0,000
278,42583,free,163,1.0,0.2,0,0,0,000
279,42589,free,163,1.0,1.8,0,0,0,000
280,42590,free,112,0.5686274509803921,7.637931034482759,0,0,0,000
281,42595,free,136,1.6666666666666667,3.237777777777778,0,0,0,000
282,42612,free,162,2.0,5.2,0,0,0,000
283,42615,free,153,2.0,8.75,0,0,0,000
284,42617,free,147,1.1333333333333333,2.988235294117647,0,0,0,000
285,42621,free,162,3.0,5.466666666666666,0,0,0,000
286,42633,free,162,6.0,2.5833333333333335,0,0,0,000
287,42634,free,155,6.0,7.266666666666667,0,0,0,000
288,42643,free,152,4.6,1.6782608695652168,0,0,0,000
289,42645,free,162,2.0,0.3,0,0,0,000
290,42650,free,153,1.0,0.6,0,0,0,000
291,42654,free,134,1.0,3.275,0,0,0,000
292,42656,free,145,2.764705882352941,5.463829787234042,0,0,0,000
293,42670,free,151,0.8,6.075000000000001,0,0,0,000
294,42677,free,159,6.5,8.292307692307693,0,0,0,000
295,42679,free,146,0.2,0.5666666666666668,0,0,0,000
