user_id,recency,frequency,monetary,R,F,M,RFM,,,R,F,M,#,segment,propotion
47662,69,20,1181.818182,2,2,1,221,,,,,,,,
47698,72,16,1344.594595,2,2,1,221,,,,,,,,
47700,48,3,321.4285714,3,1,1,311,,,,,,,,
47725,73,18,4074.829932,2,2,1,221,,,,,,,,
47729,128,29,7172.413793,1,3,1,131,,,,,,,,
47731,0,0,9000,4,1,1,411,,,,,,,,
47757,95,5,21392.85714,1,1,1,111,,,,,,,,
47765,114,7,24950,1,1,1,111,,,,,,,,
47767,55,5,1800,2,1,1,211,,,,,,,,
47771,109,2,1500,1,1,1,111,,,,,,,,
47799,36,24,1974.025974,3,2,1,321,,,,,,,,
47802,8,39,1196.581197,4,3,1,431,,,,,,,,
47805,1,27,5888.888889,4,3,1,431,,,,,,,,
47811,33,47,300.1508296,3,3,1,331,,,,,,,,
47833,21,7,5650.943396,3,1,1,311,,,,,,,,
47886,112,13,15307.69231,1,2,1,121,,,,,,,,
47908,58,8,2810.810811,2,1,1,211,,,,,,,,
47931,6,9,2512.345679,4,1,1,411,,,,,,,,
47952,47,5,3685.185185,3,1,1,311,,,,,,,,
47966,0,0,9000,4,1,1,411,,,,,,,,
47973,2,1,40533.33333,4,1,1,411,,,,,,,,
47977,0,0,23000,4,1,1,411,,,,,,,,
47992,4,9,981.4814815,4,1,1,411,,,,,,,,
48034,110,24,2726.027397,1,2,1,121,,,,,,,,
48077,79,1,85571.42857,2,1,1,211,,,,,,,,
48088,1,36,864.3578644,4,3,1,431,,,,,,,,
48113,5,17,1926.045016,4,2,1,421,,,,,,,,
48151,82,1,1285.714286,2,1,1,211,,,,,,,,
48160,114,1,2250,1,1,1,111,,,,,,,,
48182,2,8,1537.414966,4,1,1,411,,,,,,,,
48207,1,24,1361.363636,4,2,1,421,,,,,,,,
48217,129,5,3600,1,1,1,111,,,,,,,,
48222,7,8,1401.408451,4,1,1,411,,,,,,,,
48228,35,2,19900,3,1,1,311,,,,,,,,
48261,2,12,1700.854701,4,2,1,421,,,,,,,,
48311,123,9,22111.11111,1,1,1,111,,,,,,,,
48345,129,13,15307.69231,1,2,1,121,,,,,,,,
48348,72,6,2944.444444,2,1,1,211,,,,,,,,
48362,1,12,2686.098655,4,2,1,421,,,,,,,,
48373,99,3,11705.88235,1,1,1,111,,,,,,,,
48378,108,1,5750,1,1,1,111,,,,,,,,
48407,53,3,257.1428571,2,1,1,211,,,,,,,,
48421,66,2,600,2,1,1,211,,,,,,,,
48427,84,7,7107.142857,2,1,1,211,,,,,,,,
48428,5,32,701.9400353,4,3,1,431,,,,,,,,
48442,8,6,1913.461538,4,1,1,411,,,,,,,,
48443,122,10,59900,1,1,1,111,,,,,,,,
48466,78,3,49666.66667,2,1,1,211,,,,,,,,
48532,5,14,1314.049587,4,2,1,421,,,,,,,,
48564,31,1,13266.66667,3,1,1,311,,,,,,,,
48568,30,10,556.7010309,3,1,1,311,,,,,,,,
48594,128,4,2250,1,1,1,111,,,,,,,,
48640,12,7,1792.792793,4,1,1,411,,,,,,,,
48710,0,0,45000,4,1,1,411,,,,,,,,
48750,0,0,23000,4,1,1,411,,,,,,,,
48764,1,20,1782.738095,4,2,1,421,,,,,,,,
48765,43,12,1364.779874,3,2,1,321,,,,,,,,
48789,10,12,3040.609137,4,2,1,421,,,,,,,,
48813,95,24,8291.666667,1,2,1,121,,,,,,,,
48847,89,4,16583.33333,2,1,1,211,,,,,,,,
48855,10,6,90.90909091,4,1,1,411,,,,,,,,
48864,3,4,5605.633803,4,1,1,411,,,,,,,,
48894,0,0,920000,4,1,3,413,,,,,,,,
48897,120,14,7370.37037,1,2,1,121,,,,,,,,
48906,79,8,163.6363636,2,1,1,211,,,,,,,,
48916,108,4,750,1,1,1,111,,,,,,,,
48941,10,5,7047.058824,4,1,1,411,,,,,,,,
48946,66,2,500,2,1,1,211,,,,,,,,
48985,20,4,2842.857143,3,1,1,311,,,,,,,,
48993,13,8,1669.230769,4,1,1,411,,,,,,,,
49005,73,4,562.5,2,1,1,211,,,,,,,,
49014,99,15,3372.881356,1,2,1,121,,,,,,,,
49030,18,9,1452.554745,4,1,1,411,,,,,,,,
49061,27,6,4058.823529,3,1,1,311,,,,,,,,
49065,0,0,9000,4,1,1,411,,,,,,,,
49073,0,0,9000,4,1,1,411,,,,,,,,
49090,5,58,382.3246878,4,4,1,441,,,,,,,,
49116,8,5,5024.691358,4,1,1,411,,,,,,,,
49122,5,28,387.91423,4,3,1,431,,,,,,,,
49126,1,3,18775.5102,4,1,1,411,,,,,,,,
49127,30,8,1715.517241,3,1,1,311,,,,,,,,
49143,34,12,6419.354839,3,2,1,321,,,,,,,,
49171,62,19,840.4255319,2,2,1,221,,,,,,,,
49185,17,11,3482.55814,4,2,1,421,,,,,,,,
49188,79,8,3491.22807,2,1,1,211,,,,,,,,
